Year,LocationAbbr,LocationDesc,DataSource,TopicType,TopicDesc,MeasureDesc,Variable,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,GeoLocation,Topic Type ID,Topic ID,Measure ID,SubMeasureID,DisplayOrder
2005,AL,Alabama,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,265.7,,,"AL
(32.84057112200048, -86.63186076199969)",HLT,501HLT,520SAE,SAE002,02
2005,AK,Alaska,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,60.5,,,"AK
(64.84507995700051, -147.72205903599973)",HLT,501HLT,520SAE,SAE002,02
2005,AZ,Arizona,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,315.4,,,"AZ
(34.865970280000454, -111.76381127699972)",HLT,501HLT,520SAE,SAE002,02
2005,AR,Arkansas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,156.2,,,"AR
(34.74865012400045, -92.27449074299966)",HLT,501HLT,520SAE,SAE002,02
2005,CA,California,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,2056.6,,,"CA
(37.63864012300047, -120.99999953799971)",HLT,501HLT,520SAE,SAE002,02
2005,CO,Colorado,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,255.7,,,"CO
(38.843840757000464, -106.13361092099967)",HLT,501HLT,520SAE,SAE002,02
2005,CT,Connecticut,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,243.9,,,"CT
(41.56266102000046, -72.64984095199964)",HLT,501HLT,520SAE,SAE002,02
2005,DE,Delaware,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,65.6,,,"DE
(39.008830667000495, -75.57774116799965)",HLT,501HLT,520SAE,SAE002,02
2005,DC,District of Columbia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,35.1,,,"DC
(38.89037138500049, -77.03196112699965)",HLT,501HLT,520SAE,SAE002,02
2005,FL,Florida,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,1281.4,,,"FL
(28.932040377000476, -81.92896053899966)",HLT,501HLT,520SAE,SAE002,02
2005,GA,Georgia,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,434.8,,,"GA
(32.83968109300048, -83.62758034599966)",HLT,501HLT,520SAE,SAE002,02
2005,HI,Hawaii,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,66.6,,,"HI
(21.304850435000446, -157.85774940299973)",HLT,501HLT,520SAE,SAE002,02
2005,ID,Idaho,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,59.1,,,"ID
(43.682630005000476, -114.3637300419997)",HLT,501HLT,520SAE,SAE002,02
2005,IL,Illinois,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,671.4,,,"IL
(40.48501028300046, -88.99771017799969)",HLT,501HLT,520SAE,SAE002,02
2005,IN,Indiana,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,351.1,,,"IN
(39.766910452000445, -86.14996019399968)",HLT,501HLT,520SAE,SAE002,02
2005,IA,Iowa,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,134.5,,,"IA
(42.46940091300047, -93.81649055599968)",HLT,501HLT,520SAE,SAE002,02
2005,KS,Kansas,SAMMEC,Health Consequences and Costs,Smoking-Attributable Expenditures (SAEs),Type of Expense,Ambulatory,$,Millions of Dollars,154.0,,,"KS
(38.34774030000045, -98.20078122699965)",HLT,501HLT,520SAE,SAE002,02
